nom;mail;id site
dali;dali@arts.fit;63
vinci;vinci@arts.fit;115
audiard;audiard@cinema.fit;100
callas;callas@musique.fit;132
graf;graf@tennis.fit;31
gotlib;gotlib@arts.fit;131
bono;bono@musique.fit;172
gorbatchev;gorbatchev@divers.fit;44
warhol;warhol@arts.fit;18
rodin;rodin@arts.fit;19
fitzgerald;fitzgerald@musique.fit;47
brady;brady@sports.fit;177
page;page@musique.fit;95
ali;ali@sports.fit;114
christie;christie@litterature.fit;1
berry;berry@musique.fit;126
freeman;freeman@cinema.fit;125
bowie;bowie@musique.fit;159
goscinny;goscinny@arts.fit;82
joplin;joplin@musique.fit;2
beckam;beckam@football.fit;190
burton;burton@cinema.fit;183
darwin;darwin@sciences.fit;138
dunant;dunant@divers.fit;64
gagarine;gagarine@divers.fit;17
rembrandt;rembrandt@arts.fit;88
ronaldo;ronaldo@football.fit;56
edberg;edberg@tennis.fit;133
armstrong;armstrong@divers.fit;35
eco;eco@litterature.fit;32
curie;curie@sciences.fit;30
connery;connery@cinema.fit;173
disney;disney@cinema.fit;54
van_gogh;van_gogh@arts.fit;136
copernic;copernic@sciences.fit;37
blier;blier@cinema.fit;79
monroe;monroe@cinema.fit;135
de_niro;de_niro@cinema.fit;180
diderot;diderot@litterature.fit;26
king;king@litterature.fit;67
turing;turing@sciences.fit;38
lincoln;lincoln@divers.fit;70
brel;brel@musique.fit;120
watt;watt@sciences.fit;21
lucas;lucas@cinema.fit;129
scott;scott@cinema.fit;3
monet;monet@arts.fit;13
lennon;lennon@musique.fit;141
caroll;caroll@litterature.fit;5
luther-king;luther-king@divers.fit;45
